Did you know?;Surface units can be ordered to move by selecting them on the map, then right-clicking the intended location.
Did you know?;Holding the Next Weapon key will order all crewed and autonomous weapon stations to hold fire.
Did you know?;The fuse of a GPO-N thermobaric nuclear bomb is only a few seconds, but its radioactive residue can last for years.
Did you know?;Downed pilots can be rescued or captured by rotary-wing aircraft by landing near them. Rewards are provided upon each rescue.
Did you know?;Reducing fuel load can significantly improve aircraft flight characteristics.
Did you know?;Naval containers are equipped with a pair of inflatable devices and can float above water. Nearby allied ships can pick them up to rearm their weapon stations.
Did you know?;Ships have powerful offensive and defensive weapons systems that can change the tide of a battle. Ensuring they are well defended and supplied can mean the difference between victory and defeat.
Did you know?;Pressing the Center View key while Target Padlock is enabled will automatically lock the camera to a single selected target.
Did you know?;Up until recently in their history, Boscali and Primeva were long-standing trade partners.
Did you know?;Objects not designed for supersonic flight will experience significantly more drag when exceeding their critical mach number.
Did you know?;Weapons stored on external hardpoints will increase the Radar Cross Section (RCS) of an aircraft, which is detrimental to stealth.
Did you know?;Radar and long range missiles form the backbone of an air-defense network. Without them, aircraft can fly above short range systems with impunity.
Did you know?;Flying 'nap-of-the-earth' refers to using folds in the terrain such as valleys to hide from radar coverage.
Did you know?;Disabling Flight Assist can allow many aircraft to perform advanced maneuvers, or crash immediately.
Did you know?;A 155mm slug fired from the Dynamo Class' railgun has the same kinetic energy as a school bus travelling at 500km/h.
Did you know?;Laser effectiveness is affected by distance. Shorter ranges will enable them to deliver much more energy to a target.
Did you know?;The AWACS Radome is exceptionally powerful, and is much better at detecting stealth aircraft than ground-based radars are.
Did you know?;The pods for AGR-18 Lynchpins are designated RLS-74X.
Did you know?;The KR-67 Ifrit is manufactured under license in Kramenka by Kramenka Industries.
Did you know?;Radar-equipped aircraft can locate surface-based radar emission sources via triangulation. Airframes with advanced detection modules, such as the EW-25 Medusa, are also able to detect aircraft instantly via trilateration of received emissions.
Did you know?;The Hyperion Class Carrier is one of the world's few aircraft carriers designed and built solely for the export market.
Did you know?;The T/A-30 Compass has many redundant control surfaces, and can remain airborne even with significant damage.
Did you know?;The SAH-46 Chicane is much better protected against gunfire and shrapnel than other aircraft.
Did you know?;The Fire Suppression System will automatically contain engine fires, but a fuel fire outside the engine can spread and consume an aircraft.
Did you know?;Ships can supply any type of munition to aircraft landing on them, thanks to advanced multimaterial volumetric 3D fabrication.
Did you know?;Most radar systems struggle to see objects flying very close to the ground, either due to clutter or the radar horizon. Low-flying aircraft and cruise missiles can exploit this weakness.
